OBJECTID,Full Road Name,Internal Created User,Internal Created Date,Internal Edited User,Internal Edited Date,GlobalID,StatePlane_Length,SHAPE__Length
1,Gulf Blvd,,,,,fe0a190c-7c60-4699-a858-12710e476ac0,218.085665648424,75.5442973038312
2,Gulf Blvd,,,,,d6742727-6cc6-4e56-ab19-6609ee2f9e39,280.969789677571,97.3308664000281
3,Ulmerton Rd,,,,,d5c8bccd-f53f-4cf1-b94b-f6959d622568,1080.01272366233,372.191887051425
4,Dr Martin Luther King Jr St N,,,,,a35a616b-d5e2-4ae5-bda1-32237e3ca9b8,328.507275983581,113.761722181547
5,22nd Ave N,,,,,22440e6f-5037-4924-9917-4d3a5b6d28fe,667.912191150546,229.958276545103
6,US Highway 19 N,,,,,bdad84d2-fb8a-4572-9592-587be1f64be1,768.197102571977,265.612151785534
7,Dr Martin Luther King Jr St N,,,,,abff16b3-4c5f-4aff-b2e9-d7a84c842e97,330.212266081548,114.295188255089
8,Pass A Grille Way,,,,,2ca7c461-f3a3-4310-b8be-034343ea6935,76.1692932930049,26.337590930842
9,22nd Ave N,,,,,20c7f548-7d0d-4fb1-ba14-e7aeb2014cf9,498.718200232333,171.707793543187
10,54th Ave N,,,,,6e6384a6-0cd5-4c0c-8214-b4fb5cc40996,671.712348076592,231.327445099894
11,113th St N,,,,,6de1f2fa-afe7-4675-a8e6-b9cdcf387cc1,1218.11714547588,421.897182816637
12,5th Ave N,,,,,0a56dd78-3898-4b6b-b107-42e0fbdd27fd,440.701282693501,151.711364090682
13,Dr Martin Luther King Jr St N,,,,,693b13bd-591b-4aa0-badc-063de66551a3,329.701025540283,114.18125228253
14,SR 580,,,,,973e16eb-5e3a-4d6d-8076-302bf8bec258,1605.33532632096,553.863942372139
15,S Myrtle Ave,,,,,aea21a27-4f4c-4b99-8899-8ea40b2e40ff,331.729782624595,114.984216950992
16,5th Ave N,,,,,55f3472c-2b2a-463e-ba23-8d80daa4cbe2,439.601487059476,151.332845795393
17,Central Ave,,,,,b8578968-eca2-4b20-bdcb-fde21a99bc12,573.304962505199,197.346489526917
18,5th Ave N,,,,,7eb114a0-5bb8-41ee-8739-a7e3419306a3,649.043147874534,223.431052807225
19,Gulf Blvd,,,,,2aa21e39-38b8-4432-a6cf-24c773b27ee4,291.643849063865,100.927683866242
20,Lakeview Rd,,,,,4386d669-fe2b-493c-af74-bb833f84a98a,405.747872956826,139.895238815733
21,Dr Martin Luther King Jr St S,,,,,512cb028-d907-4b1b-9844-668ccb499d9b,329.010070812901,113.832176546361
22,38th Ave N,,,,,b4c78d16-9ec4-4f62-9a46-d19ca4388f25,158.003170367272,54.4066432994457
